#GO         O    E     O/E   P(n=1.0e+02)  Category   Description
GO:0021983  7    0.01  700   -1            Process    pituitary gland development
GO:0001655  5    0.01  500   -1            Process    urogenital system development
GO:0021527  5    0.01  500   -1            Process    spinal cord association neuron differentiation
GO:0021796  5    0.01  500   -1            Process    cerebral cortex regionalization
GO:0048646  5    0.01  500   -1            Process    anatomical structure formation involved in morphogenesis
GO:0048935  5    0.01  500   -1            Process    peripheral nervous system neuron development
GO:2000543  5    0.01  500   -1            Process    positive regulation of gastrulation
GO:0030901  9    0.02  450   -1            Process    midbrain development
GO:0048704  16   0.04  400   -1            Process    embryonic skeletal system morphogenesis
GO:0042474  7    0.02  350   -1            Process    middle ear morphogenesis
GO:0048665  7    0.02  350   -1            Process    neuron fate specification
GO:0001709  9    0.03  300   -1            Process    cell fate determination
GO:0031018  6    0.02  300   -1            Process    endocrine pancreas development
GO:0042733  9    0.03  300   -1            Process    embryonic digit morphogenesis
GO:0090190  5    0.02  250   -1            Process    positive regulation of branching involved in ureteric bud morphogenesis
GO:0035115  9    0.04  225   -1            Process    embryonic forelimb morphogenesis
GO:0007389  8    0.04  200   -1            Process    pattern specification process
GO:0009952  33   0.17  194   -1            Process    anterior/posterior pattern specification
GO:0009954  11   0.06  183   -1            Process    proximal/distal pattern formation
GO:0035116  7    0.04  175   -1            Process    embryonic hindlimb morphogenesis
GO:0009888  5    0.03  167   -1            Process    tissue development
GO:0071837  5    0.03  167   -1            Function   HMG box domain binding
GO:0030878  8    0.05  160   -1            Process    thyroid gland development
GO:0001764  11   0.08  138   -1            Process    neuron migration
GO:0009953  8    0.06  133   -1            Process    dorsal/ventral pattern formation
GO:0048701  8    0.06  133   -1            Process    embryonic cranial skeleton morphogenesis
GO:0048706  8    0.06  133   -1            Process    embryonic skeletal system development
GO:0071542  8    0.06  133   -1            Process    dopaminergic neuron differentiation
GO:0001657  5    0.04  125   -1            Process    ureteric bud development
GO:0048468  5    0.04  125   -1            Process    cell development
GO:0048536  6    0.05  120   -1            Process    spleen development
GO:0030326  9    0.08  112   -1            Process    embryonic limb morphogenesis
GO:0060021  9    0.08  112   -1            Process    roof of mouth development
GO:0042475  10   0.09  111   -1            Process    odontogenesis of dentin-containing tooth
GO:0042472  11   0.1   110   -1            Process    inner ear morphogenesis
GO:0043565  61   0.58  105   -1            Function   sequence-specific DNA binding
GO:0000987  5    0.05  100   -1            Function   proximal promoter sequence-specific DNA binding
GO:0007224  5    0.05  100   -1            Process    smoothened signaling pathway
GO:0043010  5    0.05  100   -1            Process    camera-type eye development
GO:0045665  8    0.08  100   -1            Process    negative regulation of neuron differentiation
GO:0048538  7    0.07  100   -1            Process    thymus development
GO:0030324  8    0.09  88.9  -1            Process    lung development
GO:0045165  8    0.09  88.9  -1            Process    cell fate commitment
GO:0008344  7    0.08  87.5  -1            Process    adult locomotory behavior
GO:0007519  5    0.06  83.3  -1            Process    skeletal muscle tissue development
GO:0021766  5    0.06  83.3  -1            Process    hippocampus development
GO:0048839  5    0.06  83.3  -1            Process    inner ear development
GO:0009653  18   0.22  81.8  -1            Process    anatomical structure morphogenesis
GO:0001077  35   0.43  81.4  -1            Function   transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0001658  7    0.09  77.8  -1            Process    branching involved in ureteric bud morphogenesis
GO:0005667  20   0.26  76.9  -1            Component  transcription factor complex
GO:0009887  10   0.14  71.4  -1            Process    animal organ morphogenesis
GO:0001228  21   0.3   70    -1            Function   transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0007368  6    0.09  66.7  -1            Process    determination of left/right symmetry
GO:0001756  5    0.08  62.5  -1            Process    somitogenesis
GO:0030512  8    0.13  61.5  -1            Process    negative regulation of transforming growth factor beta receptor signaling pathway
GO:0006366  58   1.01  57.4  -1            Process    transcription by RNA polymerase II
GO:0001501  12   0.21  57.1  -1            Process    skeletal system development
GO:0000977  27   0.48  56.2  -1            Function   RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000981  130  2.34  55.6  -1            Function   RNA polymerase II transcription factor activity, sequence-specific DNA binding
GO:0001205  6    0.11  54.5  -1            Function   transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0001947  6    0.11  54.5  -1            Process    heart looping
GO:0000980  7    0.13  53.8  -1            Function   RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0000978  36   0.67  53.7  -1            Function   RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0051216  10   0.19  52.6  -1            Process    cartilage development
GO:0001085  5    0.1   50    -1            Function   RNA polymerase II transcription factor binding
GO:0003705  5    0.1   50    -1            Function   transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
GO:0030855  5    0.1   50    -1            Process    epithelial cell differentiation
GO:0045596  5    0.1   50    -1            Process    negative regulation of cell differentiation
GO:0007219  7    0.15  46.7  -1            Process    Notch signaling pathway
GO:0071300  6    0.13  46.2  -1            Process    cellular response to retinoic acid
GO:0045944  84   1.87  44.9  -1            Process    positive regulation of transcription by RNA polymerase II
GO:0000122  48   1.11  43.2  -1            Process    negative regulation of transcription by RNA polymerase II
GO:0001227  6    0.14  42.9  -1            Function   transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0001701  11   0.26  42.3  -1            Process    in utero embryonic development
GO:0008584  5    0.12  41.7  -1            Process    male gonad development
GO:0048666  5    0.12  41.7  -1            Process    neuron development
GO:0060070  5    0.12  41.7  -1            Process    canonical Wnt signaling pathway
GO:0001078  11   0.27  40.7  -1            Function   transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0043524  9    0.23  39.1  -1            Process    negative regulation of neuron apoptotic process
GO:0007411  10   0.26  38.5  -1            Process    axon guidance
GO:0045444  5    0.14  35.7  -1            Process    fat cell differentiation
GO:0007507  11   0.31  35.5  -1            Process    heart development
