#Chr  Start     End       Sym...
chr1  1320001   1346000   INTS11,CPTP,TAS1R3,DVL1,MIR6808
chr1  2298001   2324000   SKI,MORN1
chr1  2496001   2536000   PLCH2,PANK4,HES5
chr1  3058001   3088000   LINC00982,PRDM16
chr1  3116001   3142000   PRDM16,MIR4251
chr1  3216001   3238000   PRDM16
chr1  8348001   8368000   RERE
chr1  18628001  18650000  PAX7
chr1  31752001  31772000  ADGRB2,MIR4254
chr1  44406001  44426000  RNF220
#Chr   Start      End        Sym...
chr22  19744947   19770946   TBX1
chr22  19966947   19992946   COMT,ARVCF
chr22  27784947   27810946   MN1
chr22  45958947   45978946   WNT7B
chr22  46058947   46092946   LOC642648,MIRLET7BHG,MIR3619
chr22  49948947   49972946   PIM3,MIR6821
chrX   24998479   25024478   ARX
chrX   40076479   40112478   BCOR
chrX   153766479  153788478  PLXNB3,SRPK3,IDH3G
chrX   153948479  153974478  HCFC1,HCFC1-AS1,TMEM187
