#Chr   Start      End        Acc...
chr1   1320001    1346000    CPTP,INTS11,TAS1R3,MIR6808
chr1   2496001    2536000    PANK4,HES5
chr1   3058001    3088000    PRDM16,LINC00982
chr1   3116001    3142000    MIR4251
chr1   18628001   18650000   PAX7
chr1   31752001   31772000   MIR4254,ADGRB2
chr1   44406001   44426000   RNF220
chr1   50412001   50436000   DMRTA2
chr1   75124001   75144000   LHX8
chr1   90710001   90736000   BARHL2
chr1   118982001  119002000  TBX15,LOC105378933
chr1   197902001  197930000  C1orf53,LHX9
chr1   220874001  220896000  HLX,HLX-AS1
chr2   19345579   19371578   MIR4757,OSR1
chr2   20659579   20683578   GDF7
chr2   44921579   44953578   LINC01833,SIX3,SIX3-AS1
chr2   63039579   63065578   LOC100132215,OTX1
chr2   72125579   72155578   CYP26B1
chr2   72913579   72937578   EMX1
chr2   118825579  118865578  EN1
chr2   120341579  120361578  INHBB
chr2   156319579  156339578  NR4A2
chr2   172069579  172103578  DLX1,DLX2-DT,DLX2
chr2   174325579  174345578  LINC01305,SP9
chr2   176079579  176143578  EVX2,HOXD13,HOXD12,HOXD11,HOXD10,HOXD9,HOXD8,LOC401021,HOXD-AS2
chr2   176145579  176167578  MIR10B,HOXD4,HOXD3
chr2   199449579  199471578  SATB2,SATB2-AS1
chr2   222287579  222315578  CCDC140,PAX3
chr2   236153579  236181578  GBX2
chr3   27712050   27732049   EOMES
chr3   46986050   47014049   NRADDP
chr3   48414050   48434049   PLXNB1
chr3   48576050   48602049   MIR711,COL7A1
chr3   48644050   48664049   MIR4793,LINC02585,CELSR3
chr3   55470050   55494049   WNT5A
chr3   128472050  128500049  GATA2-AS1,GATA2
chr3   147376050  147398049  ZIC4
chr3   147402050  147428049  ZIC4,ZIC1,LOC440982
chr4   3756491    3778490    ADRA2C
chr4   4848491    4876490    MSX1
chr4   8264491    8286490    HTRA3
chr4   8854491    8882490    HMX1
chr4   10106491   10126490   WDR1
chr4   13520491   13548490   LINC01097,NKX3-2,LINC01096
chr4   110608491  110646490  PANCR,PITX2
chr4   173512491  173542490  SCRG1,HAND2-AS1,HAND2
chr5   1871936    1893935    IRX4,CTD-2194D22.4
chr5   2733936    2759935    C5orf38,IRX2
chr5   3585936    3611935    IRX1
chr5   37821936   37841935   GDNF,GDNF-AS1
chr5   77625936   77645935   OTP
chr5   88673936   88693935   LINC00461,MEF2C-AS2
chr5   123081936  123101935  PRDM6,LOC105379152
chr5   135023936  135047935  C5orf66,PITX1,C5orf66-AS1
chr6   1377677    1397676    FOXF2,MIR6720
chr6   1591677    1637676    FOXCUT,FOXC1
chr6   5987677    6009676    NRN1
chr6   10397677   10429676   TFAP2A-AS2,TFAP2A-AS1,TFAP2A
chr6   98825677   98845676   PNKY,POU3F2
chr6   100445677  100473676  SIM1
chr6   108155677  108179676  NR2E1
chr6   170277677  170299676  LOC285804,FAM120B,DLL1
chr7   1223698    1257697    UNCX
chr7   27091698   27115697   HOTAIRM1,HOXA1,HOXA2
chr7   27129698   27207697   HOXA4,HOXA-AS3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10-AS,MIR196B,HOXA10,HOXA10-HOXA9,HOXA11-AS,HOXA11,HOTTIP,HOXA13
chr7   151113698  151143697  AGAP3
chr7   155447698  155475697  EN2
chr7   155795698  155817697  SHH
chr7   157003698  157023697  MNX1-AS2,MNX1-AS1,MNX1
chr8   26033725   26053724   EBF2
chr8   142447725  142469724  ADGRB1
chr8   143801725  143821724  MIR937,SCRIB
chr8   144253725  144279724  MIR7112,SCX
chr8   144497725  144529724  GPT,MFSD3,LRRC14,RECQL4,LRRC24,C8orf82
chr9   37017089   37043088   PAX5
chr9   93941089   93963088   BARX1-DT,BARX1
chr9   123997089  124025088  LOC100505588,LHX2
chr9   126609089  126629088  LMX1B
chr9   132575089  132605088  BARHL1
chr9   133567089  133587088  FAM163B
chr9   136197089  136219088  LHX3
chr9   137009089  137029088  C9orf139,ABCA2
chr9   137161089  137181088  MIR3621,LRRC26,TMEM210
chr10  8034372    8064371    GATA3-AS1,GATA3
chr10  75390372   75414371   ZNF503-AS2,ZNF503,LOC101929234
chr10  93056372   93078371   CYP26C1,CYP26A1
chr10  99518372   99542371   NKX2-3,LINC01475
chr10  100728372  100756371  PAX2
chr10  101214372  101236371  LBX1-AS1,LBX1
chr10  117530372  117558371  EMX2,EMX2OS
chr10  123128372  123160371  HMX3,HMX2,BUB3
chr10  129950372  129980371  EBF3
chr10  132396372  132416371  PWWP2B
chr11  2128950    2152949    MIR483,IGF2,IGF2-AS
chr11  6606950    6634949    TAF10,TPP1
chr11  31790950   31830949   PAX6,PAX6-AS1,PAUPAR
chr11  43568950   43588949   MIR670HG,MIR129-2
chr11  69632950   69658949   CCND1
chr12  53942328   54012327   HOXC12,HOTAIR,HOXC11,HOXC10,HOXC-AS3,MIR196A2,HOXC-AS2,HOXC9,HOXC-AS1,HOXC8
chr12  54014328   54038327   HOXC6,HOXC4,HOXC5,MIR615
chr12  113462328  113482327  LHX5-AS1,LHX5
chr12  114392328  114418327  TBX5,TBX5-AS1
chr12  114664328  114684327  TBX3
chr13  78591019   78611018   POU4F1
chr13  99963019   99993018   ZIC5,ZIC2
chr13  112045019  112079018  SOX1
chr14  36502691   36526690   SFTA3,NKX2-1-AS1,NKX2-1
chr14  36644691   36666690   PAX9
chr14  37580691   37606690   TTC6,FOXA1
chr14  56792691   56814690   OTX2,OTX2-AS1
chr14  60636691   60658690   SALRNA1,SIX1
chr14  100714691  100738690  DLK1
chr14  104786691  104806690  AKT1,ZBTB42
chr14  105136691  105158690  MIR6765
chr14  105470691  105498690  CRIP2,CRIP1,TEDC1
chr15  52778973   52808972   ONECUT1
chr15  59990973   60012972   FOXB1
chr15  67816973   67840972   SKOR1,LOC101929076,RNU6-1,RNU6-7,RNU6-9,RNU6-8,RNU6-2
chr15  89356973   89384972   MIR9-3HG,MIR9-3
