#Chr	Start	End	Sym...
chr1	1320001	1346000	MIR6808,DVL1,TAS1R3,CPTP,INTS11
chr1	2298001	2324000	MORN1,SKI
chr1	2496001	2536000	HES5,PANK4,PLCH2
chr1	3058001	3088000	PRDM16,LINC00982
chr1	3116001	3142000	MIR4251,PRDM16
chr1	3216001	3238000	PRDM16
chr1	8348001	8368000	RERE
chr1	18628001	18650000	PAX7
chr1	31752001	31772000	MIR4254,ADGRB2
chr1	44406001	44426000	RNF220
chr1	50412001	50436000	DMRTA2
chr1	75124001	75144000	LHX8
chr1	90710001	90736000	BARHL2
chr1	118982001	119002000	LOC105378933,TBX15
chr1	197902001	197930000	LHX9,C1orf53
chr1	220874001	220896000	HLX,HLX-AS1
chr2	19345579	19371578	OSR1,MIR4757
chr2	20659579	20683578	GDF7
chr2	44921579	44953578	SIX3,SIX3-AS1,LINC01833
chr2	63039579	63065578	OTX1,LOC100132215,EHBP1
chr2	72125579	72155578	CYP26B1
chr2	72913579	72937578	EMX1
chr2	118825579	118865578	EN1
chr2	120341579	120361578	INHBB
chr2	156319579	156339578	FLJ46875,NR4A2
chr2	172069579	172103578	DLX2-DT,DLX2,DLX1,METAP1D
chr2	174325579	174345578	SP9,LINC01305
chr2	176079579	176143578	LOC401021,HOXD-AS2,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2
chr2	176145579	176167578	HOXD3,HOXD4,MIR10B
chr2	178557579	178581578	TTN,TTN-AS1
chr2	199449579	199471578	SATB2-AS1,SATB2
chr2	222287579	222315578	CCDC140,PAX3
chr2	236153579	236181578	GBX2
chr3	27712050	27732049	EOMES
chr3	46986050	47014049	NRADDP,NBEAL2
chr3	48414050	48434049	CCDC51,PLXNB1
chr3	48576050	48602049	UQCRC1,MIR711,COL7A1
chr3	48644050	48664049	LINC02585,MIR4793,CELSR3
chr3	49644050	49664049	BSN
chr3	55470050	55494049	WNT5A
chr3	128472050	128500049	GATA2-AS1,GATA2,DNAJB8-AS1
chr3	147376050	147398049	ZIC4
chr3	147402050	147428049	LOC440982,ZIC1,ZIC4
chr4	3756491	3778490	ADRA2C
chr4	4848491	4876490	MSX1,LINC01396
chr4	8264491	8286490	HTRA3
chr4	8854491	8882490	HMX1
chr4	10106491	10126490	WDR1
chr4	13520491	13548490	LINC01096,NKX3-2,LINC01097
chr4	110608491	110646490	PITX2,PANCR
chr4	173512491	173542490	HAND2-AS1,HAND2,SCRG1
chr5	1871936	1893935	CTD-2194D22.4,IRX4
chr5	2733936	2759935	C5orf38,IRX2
chr5	3585936	3611935	IRX1
chr5	37821936	37841935	GDNF-AS1,GDNF
chr5	77625936	77645935	OTP
chr5	88673936	88693935	MEF2C-AS2,LINC00461
chr5	123081936	123101935	PRDM6,LOC105379152
chr5	135023936	135047935	C5orf66-AS1,C5orf66,PITX1
chr6	1377677	1397676	MIR6720,FOXF2
chr6	1591677	1637676	GMDS,FOXC1,FOXCUT
chr6	5987677	6009676	NRN1
chr6	10397677	10429676	LINC00518,TFAP2A-AS1,TFAP2A-AS2,TFAP2A
chr6	50833677	50853676	TFAP2B
chr6	98825677	98845676	POU3F2,PNKY
chr6	100445677	100473676	SIM1
chr6	108155677	108179676	NR2E1,OSTM1-AS1
chr6	170277677	170299676	FAM120B,DLL1,LINC01624
chr7	1223698	1257697	UNCX
chr7	27091698	27115697	HOXA3,HOXA2,HOTAIRM1,HOXA1
chr7	27129698	27207697	HOTTIP,HOXA13,HOXA11-AS,HOXA11,HOXA10,MIR196B,HOXA10-AS,HOXA9,HOXA10-HOXA9,HOXA7,HOXA-AS3,HOXA6,HOXA5,HOXA4
chr7	151113698	151143697	AGAP3
chr7	155447698	155475697	EN2
chr7	155795698	155817697	SHH
chr7	157003698	157023697	MNX1-AS1,MNX1-AS2,MNX1
chr7	157673698	157695697	PTPRN2
chr8	26033725	26053724	EBF2
chr8	142447725	142469724	ADGRB1
chr8	143801725	143821724	PUF60,MIR937,SCRIB
chr8	144253725	144279724	SCX,MIR7112,BOP1,MROH1
chr8	144497725	144529724	ARHGAP39,C8orf82,LRRC24,LRRC14,RECQL4,MFSD3,GPT,PPP1R16A
chr9	37017089	37043088	PAX5
chr9	93941089	93963088	BARX1-DT,BARX1
chr9	123997089	124025088	LHX2,LOC100505588
chr9	126609089	126629088	LMX1B
chr9	132575089	132605088	DDX31,BARHL1
chr9	133567089	133587088	FAM163B,ADAMTSL2
chr9	134765089	134787088	COL5A1
chr9	136197089	136219088	QSOX2,LHX3
chr9	136493089	136515088	NOTCH1
chr9	137009089	137029088	C9orf139,ABCA2
chr9	137161089	137181088	ANAPC2,TMEM210,MIR3621,LRRC26,GRIN1
chr10	8034372	8064371	GATA3,GATA3-AS1
chr10	75390372	75414371	LOC101929234,ZNF503-AS2,ZNF503
chr10	93056372	93078371	CYP26A1,CYP26C1,EXOC6
chr10	99518372	99542371	NKX2-3,LINC01475
chr10	100728372	100756371	PAX2
chr10	101214372	101236371	LBX1-AS1,LBX1
chr10	117530372	117558371	EMX2,EMX2OS
chr10	123128372	123160371	BUB3,HMX2,HMX3
chr10	129880372	129904371	EBF3
chr10	129950372	129980371	EBF3
chr10	132192372	132212371	STK32C,DPYSL4
chr10	132396372	132416371	PWWP2B
